Round,Day,Date,Time,First Team Name,First Team Score,First Team win Status,Second Team name,Second Team Score,Game Location,Croud
1,Friday,1 September,7:20 pm,Melbourne Football Club,73,def.,Collingwood Football Club,31,Ikon Park,"8,412"
1,Saturday,2 September,1:05 pm,Carlton Football Club,34,def.,Gold Coast Suns,32,Ikon Park,"3,244"
1,Saturday,2 September,2:35 pm,Adelaide Football Club,58,def.,Port Adelaide Football Club (AFL Women's),28,Norwood Oval,"8,722"
1,Saturday,2 September,5:05 pm,Geelong Football Club,65,def.,Western Bulldogs,17,GMHBA Stadium,"4,404"
1,Saturday,2 September,7:15 pm,Hawthorn Football Club (AFL Women's),30,def. by,Essendon Football Club,49,Kinetic Stadium,"3,722"
1,Sunday,3 September,1:05 pm,North Melbourne Football Club,56,def.,St Kilda Football Club (AFL Women's),16,Blundstone Arena,"2,454"
1,Sunday,3 September,3:05 pm,Brisbane Lions,34,def. by,Richmond Football Club,40,Brighton Homes Arena,"3,153"
1,Sunday,3 September,3:05 pm,Sydney Swans,51,def.,Greater Western Sydney Giants,46,North Sydney Oval,"5,474"
1,Sunday,3 September,3:05 pm,Fremantle Football Club,27,def.,West Coast Eagles (AFL Women's),19,Fremantle Community Bank Oval,"3,790"
2,Friday,8 September,5:05 pm,Richmond Football Club,12,def. by,Adelaide Football Club,41,Ikon Park,"1,083"
2,Saturday,9 September,11:05 am,Gold Coast Suns,99,def.,West Coast Eagles (AFL Women's),26,Heritage Bank Stadium,"1,071"
2,Saturday,9 September,12:35 pm,Port Adelaide Football Club (AFL Women's),26,def. by,Brisbane Lions,76,Alberton Oval,"1,928"
2,Saturday,9 September,1:05 pm,Sydney Swans,41,def. by,Geelong Football Club,68,North Sydney Oval,"2,878"
2,Sunday,10 September,1:05 pm,Western Bulldogs,39,def. by,Hawthorn Football Club (AFL Women's),46,Mars Stadium,"1,564"
2,Sunday,10 September,1:05 pm,Collingwood Football Club,46,def.,Fremantle Football Club,25,Victoria Park,"1,914"
2,Sunday,10 September,3:05 pm,North Melbourne Football Club,66,def.,Carlton Football Club,6,Arden Street Oval,"2,788"
2,Sunday,10 September,3:05 pm,Essendon Football Club,40,def.,St Kilda Football Club (AFL Women's),28,Windy Hill,"3,195"
2,Sunday,10 September,5:05 pm,Greater Western Sydney Giants,22,def. by,Melbourne Football Club,99,Manuka Oval,"2,028"
3,Friday,15 September,5:05 pm,Geelong Football Club,22,def. by,North Melbourne Football Club,31,GMHBA Stadium,"2,907"
3,Saturday,16 September,1:35 pm,Greater Western Sydney Giants,34,def. by,Richmond Football Club,53,Blacktown ISP Oval,"1,051"
3,Saturday,16 September,2:35 pm,Adelaide Football Club,81,def.,Essendon Football Club,34,Unley Oval,"2,238"
3,Saturday,16 September,3:05 pm,Melbourne Football Club,83,def.,Western Bulldogs,41,Casey Fields,"1,457"
3,Saturday,16 September,3:05 pm,Fremantle Football Club,35,def.,Hawthorn Football Club (AFL Women's),22,Fremantle Community Bank Oval,"2,092"
3,Sunday,17 September,1:05 pm,St Kilda Football Club (AFL Women's),48,def. by,Port Adelaide Football Club (AFL Women's),56,RSEA Park,"2,016"
3,Sunday,17 September,1:05 pm,West Coast Eagles (AFL Women's),24,def. by,Carlton Football Club,77,Mineral Resources Park,"1,208"
3,Sunday,17 September,3:05 pm,Collingwood Football Club,21,def. by,Gold Coast Suns,33,Victoria Park,"2,537"
3,Sunday,17 September,5:05 pm,Brisbane Lions,87,def.,Sydney Swans,32,Brighton Homes Arena,"2,582"
4,Friday,22 September,5:05 pm,Hawthorn Football Club (AFL Women's),11,def. by,Melbourne Football Club,70,Kinetic Stadium,"2,817"
4,Saturday,23 September,11:05 am,Greater Western Sydney Giants,37,def. by,Adelaide Football Club,106,Manuka Oval,"1,809"
4,Saturday,23 September,1:05 pm,Carlton Football Club,40,def. by,Richmond Football Club,47,Ikon Park,"2,304"
4,Saturday,23 September,12:35 pm,Port Adelaide Football Club (AFL Women's),42,def. by,Geelong Football Club,70,Alberton Oval,"2,132"
4,Sunday,24 September,1:05 pm,Sydney Swans,34,def.,West Coast Eagles (AFL Women's),21,Henson Park,"4,595"
4,Sunday,24 September,1:05 pm,North Melbourne Football Club,33,def. by,Brisbane Lions,35,University of Tasmania Stadium,"1,093"
4,Sunday,24 September,3:05 pm,Essendon Football Club,50,def.,Fremantle Football Club,30,Windy Hill,"2,822"
4,Sunday,24 September,3:05 pm,St Kilda Football Club (AFL Women's),47,def.,Collingwood Football Club,35,RSEA Park,"3,230"
4,Sunday,24 September,5:05 pm,Gold Coast Suns,48,def.,Western Bulldogs,44,Heritage Bank Stadium,"1,181"
5,Thursday,28 September,6:15 pm,Geelong Football Club,25,def. by,Melbourne Football Club,74,GMHBA Stadium,"4,312"
5,Friday,29 September,1:05 pm,Richmond Football Club,30,def. by,Fremantle Football Club,37,Ikon Park,"2,406"
5,Friday,29 September,4:05 pm,Carlton Football Club,44,def.,Sydney Swans,39,Ikon Park,"2,079"
5,Friday,29 September,7:15 pm,Western Bulldogs,36,def. by,St Kilda Football Club (AFL Women's),54,Whitten Oval,"2,807"
